real_values predictions
0.3975 0.44027779866974337
0.4175 0.8507009491154346
0.46 0.8916543978909852
0.485 0.4434387678857037
0.485 0.7287599672895964
0.4775 0.5857799203982945
0.45 0.28191010417332785
0.4175 0.4737759935004491
0.3725 0.5463211530917734
0.2975 0.8375762160968092
0.2925 0.4595146690089497
0.295 0.5120831597233267
0.29 0.2709450228257365
0.27 0.4923386912547429
0.2575 1.0360805010114267
0.2375 0.06435338523379436
0.2275 0.3041291536811544
0.235 0.6623861648949471
0.25 0.08987949882292295
0.2675 0.35476840731721526
0.305 0.7259280375831366
0.2675 0.397422357976154
0.27 0.35016469037748976
0.2825 0.3707350099965583
0.3175 0.3074444266949844
0.3875 0.0996641170176914
0.3775 0.5981461083209452
0.3325 0.4134383741908038
0.2825 0.3238898391063074
0.2575 0.7762594524611137
0.255 0.13958284990536807
0.245 0.2236985373964938
0.23 0.3690462997139242
0.2225 0.40676129226104013
0.23 0.13290632875695918
0.2175 0.9186371502920003
0.205 0.34088033831997744
0.24 0.38962099401778927
0.2575 0.31680566532524335
0.29 0.5385860462103275
0.345 0.5123035195272948
0.3825 0.6042699360062961
0.3625 0.13990117618808845
0.355 0.41264182798142823
0.325 0.59366418322951
0.285 0.7821954509590509
0.2625 0.7346094864561837
0.2375 0.6579023958627369
0.2125 0.22896488652016955
0.1975 1.047540078350338
0.18 0.815388363740392
0.1675 0.3963562495059662
0.15 0.6327030117595431
0.1325 0.4122239531974109
0.115 0.6421354088370319
0.1225 0.22772558233205104
0.1125 0.4802045565251368
0.105 0.6403405573614641
0.1075 0.5052017990433852
0.1575 0.340541619185326
0.1025 0.6147482223418784
0.1175 0.5630410203814851
0.135 0.5660636233138379
0.175 0.5972699874073274
0.185 0.1822388022453898
0.165 0.21743842931484986
0.1225 0.8041133525709729
0.115 0.3905225754929835
0.12 0.3699669616045238
0.1225 0.18781131988950606
0.12 0.5941394525224575
0.13 0.8694507992369533
0.16 0.6364441245055061
0.19 0.6585884942454155
0.2725 0.4780913879131129
0.315 0.4534832748249118
0.365 0.6750895815365212
0.425 0.21148282518135125
0.4575 0.59505851770488
0.44 0.5685692025103635
0.41 0.36030975004537413
0.385 0.55230128363663
0.36 0.31365468692058396
0.3425 0.43254454707083445
0.3175 0.795739148447723
0.2675 0.505663173313086
0.24 0.45289081312035334
0.24 0.644771256325582
0.26 0.6500919028543969
0.27 0.14097343106158666
0.2675 0.5181436920867807
0.2575 0.7329015710001939
0.2525 0.499508468542949
0.2475 0.589016062667878
0.25 0.31785262770675177
0.2475 0.5384686407734026
0.245 0.46842783990563064
0.24 0.6062871534085652
0.2425 0.4704862988045899
0.1525 0.2674801579556416
0.1825 0.5647904466202592
0.2275 0.8154249782175607
0.255 -0.07952227890609065
0.2775 0.3659691557845507
0.34 0.29375677794582056
0.4075 0.15155145660669983
0.4375 0.37876938582052116
0.4475 0.4234406019206343
0.4575 0.34279469520897204
0.465 0.3949564898281607
0.4175 0.2968278420250752
0.375 0.465718581235902
0.3475 0.4912795431269943
0.3325 0.31150515027310743
0.3325 0.6266812108673125
0.3425 0.1552825378223383
0.3375 0.3428533280223627
0.315 0.4441384446509386
0.305 0.7840940440805684
0.315 0.2511482633879896
0.365 0.34948604962510654
0.3325 0.425564582054776
0.33 0.530902301595004
0.3375 0.08703174646932815
0.355 0.17631198258084158
0.385 0.1536711175863742
0.3775 0.3565515213568447
0.28 0.5952288677355827
0.2475 0.6791271412723081
0.2325 0.08731206173604933
0.2525 0.33804528500442843
0.3 0.4246716903898189
0.32 0.520908309153957
0.315 0.7838626985990067
0.315 0.13793740281310424
0.3025 0.4764354521982273
0.29 0.3432602048844514
0.29 0.6206669893556572
0.2875 0.480186515957075
0.2875 0.9598605659773104
0.28 0.634260703692979
0.2475 0.7266819876366305
0.21 0.2668331156382013
0.15 0.9211840491637273
0.1225 0.40873602696186334
0.105 0.44248300889905123
0.11 0.11919688149680446
0.13 0.3758352047812461
0.1525 0.44944378767877025
0.1675 0.6445327159502324
0.1425 0.65602552173381
0.1375 0.40411678407439766
0.14 0.6037908030420319
0.0475 0.560982614314289
0.045 0.35255110477706925
0.04 0.9267808791099774
0.0225 0.6960278841565796
0.0 0.46792932533601006
0.0 0.5947786339488096
0.0 0.5803148443017633
0.01 0.7173821620023716
0.02 0.2800860303627144
0.045 0.4744237002898278
0.0975 0.4782218981479646
0.1375 0.8165671966545739
0.1675 0.6791118281772464
0.19 0.2715509903776165
0.21 0.26277386343220643
0.2225 0.43047042255834017
0.2325 0.4496106608337226
0.26 0.13730864139545113
0.2875 0.7948143284215343
0.3125 0.5554178495393862
0.3 0.554483330073077
0.2925 0.6426427168888054
0.29 0.3168083397376471
0.2925 0.4515118633232305
0.2975 0.43400127467989347
0.3175 0.31809849329797124
0.3275 0.4932452942062153
0.3325 0.7670801207882569
0.3575 0.5333669296521175
0.3625 0.06034843318761973
0.3875 0.6037373200211757
0.41 0.6024261351383161
0.415 0.43119765193066273
0.4 0.43970948008373245
0.3775 0.14123080953990474
0.3725 0.6982752980972868
0.3725 0.4640501059467303
0.37 0.45412176427223316
0.3725 1.0833942745051632
0.375 0.36835922921258357
0.38 0.3605359819971294
0.3875 0.6324207219532034
0.4 0.346181636010494
0.4075 0.33609369799681477
0.4225 0.9133901669727231
0.43 0.1233226671612509
0.445 0.7292583727926305
0.46 0.5758997441997877
0.475 0.6058104826280809
0.4825 0.7488354575103404
0.49 0.7842670838714683
0.495 0.2570323010361498
0.4975 0.7465531530601726
0.5 0.7454140983918023
0.5 0.1860058364018054
0.5 0.44372176925851314
0.5 0.43729428537563864
0.5 0.45723010007668524
0.5 0.557732708717857
0.5 0.5221614438454416
0.5 0.9517722942740965
0.5 0.6541676298179557
0.5 0.5320579897359954
0.5 0.3155001509511681
0.5 0.6391795872197596
0.5 0.6053933871882436
0.5 0.6661854272099508
0.5 0.637847692758432
0.5 0.6504551072058794
0.5 0.32842403248256236
0.5 0.4822958737555232
0.5 0.2563975700059101
0.5 0.1687733472499997
0.5 0.7618840515483617
0.5 0.45991286346134524
0.5 0.5287176588547279
0.5 0.306896261814918
0.5 0.7592175643422463
0.5 0.6989897984236417
0.5 0.41118352064302377
0.5 0.6983256644956908
0.5 0.6098069847911382
0.5 0.45068201693494003
0.5 0.4021906943875444
0.5 0.7494641113833914
0.5 0.3169256824171046
0.5 0.6659788683106083
0.5 0.46769134361129056
0.5 0.3748436199439704
0.5 0.2652360790590843
0.5 0.4621607111597937
0.5 0.39888125696869337
0.5 0.6465762279486162
0.5 0.3185562789227132
0.5 0.452192047944044
0.5 0.5857269846818588
0.5 0.5904454073509084
0.5 0.7915871485168744
0.5 0.5415852523520422
0.5 0.19762306190998008
0.5 0.5009110127912282
0.5 0.630812016902105
0.5 0.5357404100227334
0.4975 0.5183086363079186
0.4825 0.7685151949297531
0.425 0.0980525873842083
0.355 0.8104223166651956
0.3 0.3287227209588899
0.2575 0.25410674140784284
0.23 0.6093959074413192
0.225 0.7190110224022983
0.17 0.6915618144610209
0.0775 0.5893167171406521
0.015 0.4928115632746622
0.01 1.1173141853861117
0.0 0.11427539699708
0.0 0.4761062307525759
0.0175 0.3750926523950372
0.0175 0.6655705262394249
0.2725 0.25979323588698044
0.25 0.573671984422872
0.2025 0.6547116824518173
0.2 0.3876174455584683
0.245 0.1678796697908982
0.2825 0.38953971940957277
0.29 0.30620710063370477
0.3175 0.9006766907608499
0.37 0.7101364305323543
0.375 0.390762810876226
0.375 0.631529285803387
0.4 0.5470762354494114
0.4025 0.4606253412789291
0.43 0.43737205692404657
0.475 0.5248522873672237
0.4975 0.7577713521730818
0.495 0.6671073283295148
0.485 0.5523990034915272
0.4725 -0.00028458583900292655
0.4675 0.6675538774803441
0.47 0.7821456302940454
0.47 0.6406094939798537
0.455 0.44004817005672425
0.405 0.30884139890231266
0.35 0.6376504110756682
0.3025 0.7837802910316143
0.295 0.42625801379859335
0.2975 0.5847068709416844
0.2875 0.12578333331162256
0.265 0.47098604688220075
0.2525 0.6320192305033504
0.215 0.3204719433044553
0.1925 0.1972778001856027
0.2275 0.5791140019807454
0.2175 0.10813562926485937
0.185 0.6824718095672017
0.16 0.11449097559936355
0.1325 0.7241099222808485
0.125 0.653092534939681
0.16 0.10048666324561034
0.1375 0.25857825025347103
0.105 0.7776817232009329
0.0425 0.3006708112432808
0.0525 0.49096259435511463
0.0775 0.08353806556559384
0.1775 0.5227506855700397
0.3475 0.25641294647914004
0.435 0.6635905473620141
0.445 0.271903028182752
0.0975 0.2725576981295393
0.1875 0.5621749381972936
0.18 0.18537381583477125
0.2025 0.38982265725698995
0.22 0.20783530504515774
0.4675 0.8256578839014157
0.435 0.5936996102986797
0.37 0.3937001898150816
0.3175 0.5904259362001416
0.28 0.7653493472637716
0.2275 0.28143821576477335
0.2125 0.1447341082137668
0.18 0.7150484180551411
0.1275 0.738909442510092
0.2575 0.8259399476127736
0.285 -0.27489183055522015
0.11 0.3492727587376846
0.1675 0.5597270076308566
0.2225 0.4636831379688466
0.24 0.6248523434214318
0.2525 0.8130965504899034
0.2825 0.13394160926915438
0.2825 0.7498611675954632
0.285 0.7334108054781294
0.2925 0.5296423209155632
0.4925 0.419628374180074
0.495 0.810725467027817
0.495 0.7563232019319968
0.495 0.06325528473014402
0.4975 0.6392423250188405
0.4975 0.2661477217904218
0.395 0.509666796981277
0.4675 0.6778171716535117
0.4975 0.6843794829352815
0.4975 0.7887724416181675
0.4325 0.38579562938704953
0.4825 0.5762914546208088
0.495 0.5289235485219209
0.5 0.572920314434594
0.5 0.877039469506866
0.5 0.726328592767431
0.5 0.6188946162413581
0.5 0.5288461289995958
0.5 0.5343042262520348
0.5 0.41028657861621814
0.5 0.5140312634100471
0.5 0.5803082573059218
0.5 0.5815019468472307
0.5 0.43545816911333585
0.5 0.6824231489372987
0.5 0.4421902272736108
0.5 0.7717466945623377
0.5 0.3639315150305752
0.5 0.4708350510373864
0.5 0.6925544196746795
0.5 0.8354118838554956
0.5 0.4037215182383333
0.5 0.5810414233413601
0.5 0.4264846721238166
0.4975 0.4100371866739238
0.4975 0.5742458415617099
0.4975 0.8810407471420401
0.4975 0.22559214867827077
0.495 0.41027169888902365
0.4575 0.3877724014800884
0.465 0.4878638119426286
0.4625 0.35573636287106913
0.4925 0.2862529691188985
0.495 0.39693856148560264
0.495 0.40521070997262765
0.495 0.582658839711449
0.495 0.3236684431577847
0.49 0.7670526531127856
0.495 0.4054917585030315
0.4925 0.7727630846871107
0.4975 0.2739229255899805
0.48 0.13122328494591423
0.4975 0.6363999340439674
0.5 0.6813557302020531
0.5 0.7598353824365488
0.4975 0.7080385515130512
0.5 0.45777162672453564
0.4975 0.17452793805627514
0.46 0.3382279079376785
0.4 0.5763566537173798
0.4975 0.6573206454659856
0.5 0.1301214216321745
0.5 0.5747121419355173
0.5 0.6870891669305562
0.5 0.17181641292623911
0.5 0.4155131851961894
0.5 0.4286384887125337
0.5 0.2965549418277452
0.5 0.4120116552438613
0.5 0.41413705676927665
0.5 0.44698626649476464
