real_values predictions
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.4975 0.49500415
0.355 0.49500415
0.5 0.49500415
0.49 0.49500415
0.49 0.49500415
0.48 0.49500415
0.49 0.49500415
0.52 0.49500415
0.5125 0.49500415
0.4825 0.49500415
0.4675 0.49500415
0.4725 0.49500415
0.48 0.49500415
0.485 0.49500415
0.56 0.49500415
0.5475 0.49500415
0.5425 0.49500415
0.5475 0.49500415
0.5475 0.49500415
0.55 0.49500415
0.555 0.49500415
0.535 0.49500415
0.5375 0.49500415
0.54 0.49500415
0.54 0.49500415
0.51 0.49500415
0.5 0.49500415
0.5 0.49500415
0.4975 0.49500415
0.4975 0.49500415
0.495 0.49500415
0.4925 0.49500415
0.4925 0.49500415
0.4975 0.49500415
0.495 0.49500415
0.4975 0.49500415
0.485 0.49500415
0.485 0.49500415
0.48 0.49500415
0.4925 0.49500415
0.495 0.49500415
0.5025 0.49500415
0.5325 0.49500415
0.55 0.49500415
0.5525 0.49500415
0.5675 0.49500415
0.58 0.49500415
0.59 0.49500415
0.55 0.49500415
0.525 0.49500415
0.5075 0.49500415
0.5075 0.49500415
0.5025 0.49500415
0.5025 0.49500415
0.5 0.49500415
0.4975 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.4975 0.49500415
0.4925 0.49500415
0.505 0.49500415
0.5175 0.49500415
0.5225 0.49500415
0.4825 0.49500415
0.3775 0.49500415
0.3725 0.49500415
0.43 0.49500415
0.4525 0.49500415
0.4525 0.49500415
0.475 0.49500415
0.4875 0.49500415
0.495 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5025 0.49500415
0.505 0.49500415
0.51 0.49500415
0.5125 0.49500415
0.51 0.49500415
0.5 0.49500415
0.4975 0.49500415
0.5 0.49500415
0.5 0.49500415
0.5225 0.49500415
0.505 0.49500415
0.5625 0.49500415
0.5425 0.49500415
0.6375 0.49500415
0.72 0.49500415
0.7575 0.49500415
0.76 0.49500415
0.7575 0.49500415
0.74 0.49500415
0.7625 0.49500415
0.7875 0.49500415
0.7925 0.49500415
0.78 0.49500415
0.7425 0.49500415
